"Common/ButtonExit","ZAVŘÍT"
"Common/ButtonOk","OK"
"Common/ButtonBack","ZPĚT"
"Common/Error","Chyba"
"Common/Confirm","Prosím potvrďte"
"Common/ConfirmFailed","Potvrzení selhalo"
"Common/ItemFilter/Show all","Ukázat vše"
"Common/ItemFilter/Resources","Suroviny"
"Common/ItemFilter/Materials","Materiály"
"Common/ItemFilter/Upgrades","Vylepšení"
"Common/ItemFilter/Cannons","Děla"
"Common/ItemFilter/Marks","Známky"
"Common/ItemFilter/Ship Notes","Lodní poukázky"
"Common/ItemFilter/Skins","Skiny"
"Common/ItemFilter/Books","Knihy"
"Common/ItemFilter/Permits","Povolenky"
"Common/ItemFilter/Coins & Marks","Mince a známky"
"Common/ItemFilter/Blueprints","Nákresy"
"Common/ItemFilter/Modules","Moduly"
"Common/ItemFilter/Usable","Použitelné"
"Common/ItemFilter/Manufacture","Výroba"
"Common/ItemFilter/Consumables","Spotřebí"
"Common/ItemFilter/Ships","Lodě"
"Common/ItemFilter/Materials and Permits","Materiály and povolenky"
"Common/ItemFilter/Bottles","Lahve"
"Common/ItemFilter/Labor Contracts","Pracovní smlouvy"
"Common/ItemFilter/Coins and Marks","Mince a Známky"
"Common/MessageBox/Ok","Ok"
"Common/MessageBox/Cancel","Zrušit"
"Common/MessageBox/Confirm","Potvrdit"
"Common/MessageBox/Delete","Smazat"
"Common/MessageBox/Skip","Přeskočit"
"Common/MessageBox/Close","Zavřít"
"Common/MessageBox/Apply","Použít"
"Common/Sort","Seřadit"
"Common/Refresh","Obnovit"
"Common/InputField/SearchPlaceholder","Hledat..."
"Common/InputField/EnterPricePlaceholder","Zadej cenu..."
"Common/InputField/AmountPlaceholder","Množství..."
"Common/ColumnHeader/Type","Typ"
"Common/ColumnHeader/Requires","Vyžaduje"
"Common/ColumnHeader/ItemName","Název předmětu"
"Common/ColumnHeader/Class","Třída"
"Common/ColumnHeader/ShipName","Název lodi"
"Common/ColumnHeader/Seller","Prodejce"
"Common/ColumnHeader/Sell","Prodat"
"Common/ColumnHeader/Buy","Koupit"
"Common/ColumnHeader/Owned","Vlastněno"
"Common/ColumnHeader/City","Město"
"Common/ColumnHeader/Location","Umístění"
"Common/ColumnHeader/ShipStatus","Status"
"Common/ColumnHeader/ShipInfo","Informace o lodi"
"Common/ColumnHeader/Level","Úroveň"
"Common/ColumnHeader/Name","Jméno"
"Common/ColumnHeader/BuildingName","Název budovy"
"Common/ColumnHeader/Icon","Ikona"
"Common/ColumnHeader/Quantity","Množství"
"Common/ColumnHeader/Time","Čas"
"Common/ColumnHeader/Take","Vzít_"
"Common/ColumnHeader/Count","Počet"
"Common/ColumnHeader/Withdraw","Odebrat"
"Common/ColumnHeader/PlayerName","Jméno hráče"
"Common/ColumnHeader/Amount","Množství"
"Common/ColumnHeader/UnitPrice","Jednotková cena"
"Common/ColumnHeader/Rate","Hodnost"
"Common/ColumnHeader/Rating","Hodnocení_"
"Common/ColumnHeader/Reward","Odměna"
"Common/ColumnHeader/PortBR","BR přístavu"
"Common/ColumnHeader/Nation","Národ"
"Common/ColumnHeader/Kills","Killy"
"Common/ColumnHeader/BattleRating","BR bitevní rating"
"Common/ColumnHeader/Battles","Bitvy"
"Common/NotEnoughWarehouseSpace","Ve skladu není dost místa"
"Common/OperationAllowedOnlyInPort","Nemůžete provést tuto akci mimo přístav"
"Common/Admiralty","Admiralta"
"Common/Success","Úspěch"
"Common/TopLevelFilters/Cannons","Děla"
"Common/TopLevelFilters/Upgrades","Vylepšení"
"Common/TopLevelFilters/Consumables","Spotřební"
"Common/TopLevelFilters/Permits","Povolenky"
"Common/TopLevelFilters/Resources","Suroviny"
"Common/TopLevelFilters/CoinsMarks","Mince a známky"
"Common/TopLevelFilters/Books","Knihy"
"Common/TopLevelFilters/All","Vše"
"Common/SlotsLabel","Sloty:"
"Common/WeightLabel","Hmotnost:"
"Common/LowLevelFilters/Resources","Suroviny"
"Common/LowLevelFilters/Food","Jídlo"
"Common/LowLevelFilters/Trading","Obchod"
"Common/LowLevelFilters/MediumGuns","Střední děla"
"Common/LowLevelFilters/LongGuns","Dlouhá děla"
"Common/LowLevelFilters/Carronades","Karonády"
"Common/LowLevelFilters/Mortars","Moždíř"
"Common/LowLevelFilters/Crew","Posádka"
"Common/LowLevelFilters/Survival","Přežití"
"Common/LowLevelFilters/Gunnery","Střelba"
"Common/LowLevelFilters/SpeedTurn","Rychlosr/otáčení"
"Common/LowLevelFilters/Boarding","Abordáž"
"Common/LowLevelFilters/National","Národní"
"Common/YesButton","Ano"
"Common/NoButton","No"
"Common/DaysShort","{0}d"
"Common/HoursShort","{0}h"
"Common/MinutesShort","{0}m"
"Common/MinutesFull","minut(y)"
"Common/SecondsShort","{0}s"
"Common/SecondsFull","sekund(y)"
"Common/Hotkey","Klávesová zkratka [{0}\"
"Common/Amount","Množství:"
"Common/SelectItem","Zvolte předmět..."
"LoadingScreen/Battle/0","Zvedání kotev…."
"LoadingScreen/Battle/1","Co byla ta černá tečka…"
"LoadingScreen/Battle/2","Feeling the disturbance of the Wind force…"
"LoadingScreen/Battle/3","Help him Captain. You are his only hope.."
"LoadingScreen/Battle/4","This is either madness… or brilliance…"
"LoadingScreen/Battle/5","There is always a bigger ship…"
"LoadingScreen/Battle/6","Obviously he is not a golfer…"
"LoadingScreen/Battle/7","You attacked in that thing? You are braver than we thought.."
"LoadingScreen/Battle/8","Good Captain. Good. Kill him. Kill him now…"
"LoadingScreen/Battle/9","These aren’t the NPCs you are looking for.."
"LoadingScreen/Battle/10","He has been waiting for you Captain.."
"LoadingScreen/Battle/11","Fear is the path to the leeside…"
"LoadingScreen/Battle/12","Aren’t you a little strong for that enemy?"
"LoadingScreen/Battle/13","We have foreseen this…"
"LoadingScreen/Battle/14","Great!.. Don't get cocky…"
"LoadingScreen/Battle/15","We sense great fear in you Captain.. You have hate. You have anger.. But you don't use them."
"LoadingScreen/Battle/16","Is your intention to command that ship?"
"LoadingScreen/Battle/17","5 1, 5 1? Amazing, we have the same combination"
"LoadingScreen/Battle/18","May the repairs be with you…"
"LoadingScreen/Battle/19","When battle end you reach… Look so good, you will not…"
"LoadingScreen/Battle/20","He finds your lack of sail disturbing…"
"LoadingScreen/Battle/21","We have a bad feeling about this.."
"LoadingScreen/Battle/22","We want to be around when you make that mistake.."
"LoadingScreen/Battle/23","Not telling you the odds…."
"LoadingScreen/Battle/24","Signaling the men…"
"LoadingScreen/Battle/25","So what now Captain?"
"LoadingScreen/Battle/26","Worrying about your fortunes…"
"LoadingScreen/Battle/27","We are going to steal a ship? That ship?"
